;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées
5490;178 845 001 003;75005;2 RUE DES FOSSES SAINT BERNARD;B;TERRASSE OUVERTE;0.9;10.0;SAS CLR  (BRASSERIE);48.849297, 2.355922
5502;667 830 040 003;75017;Pan coupé 40 RUE DE PRONY / 1 RUE FORTUNY;A;TERRASSE OUVERTE;1.25;2.0;SARL PEGGY  (BRASSERIE);48.881863, 2.305557
5503;667 830 048 002;75017;Pan coupé 2 RUE MEISSONIER / 48 RUE DE PRONY;B;TERRASSE OUVERTE;1.4;5.2;SARL BRASSERIE DE PRONY  (RESTAURANT);48.882481, 2.304434
5508;514 682 161 003;75013;161 AVENUE D ITALIE;A;TERRASSE OUVERTE;1.2;3.5;SARL M.M.I.  (BRASSERIE);48.819524, 2.359629
5509;514 682 161 003;75013;161 AVENUE D ITALIE;A;TERRASSE OUVERTE;1.0;3.45;SARL M.M.I.  (BRASSERIE);48.819524, 2.359629
5514;516 072 168 003;75013;163 AVENUE D ITALIE;B;TERRASSE FERMEE;2.0;5.0;SARL LE MAS  (BRASSERIE);48.819402, 2.359672
5581;532 719 009 004;75014;9 RUE DU DEPART;A;TERRASSE OUVERTE;0.75;4.5;M IKONOMOU  (BRASSERIE);48.842819, 2.323944
5605;36 837 019 002;75001;Pan coupé 19 AVENUE DE L OPERA / 22 RUE DES PYRAMIDES;AC;COMMERCE ACCESSOIRE;1.5;2.2;SNC PUECHAVY ET CIE  (BRASSERIE);48.865963, 2.334093
5606;36 837 019 002;75001;Pan coupé 19 AVENUE DE L OPERA / 22 RUE DES PYRAMIDES;AC;TERRASSE OUVERTE;2.0;2.0;SNC PUECHAVY ET CIE  (BRASSERIE);48.865963, 2.334093
5607;36 837 019 002;75001;22 RUE DES PYRAMIDES;C;TERRASSE FERMEE;1.0;23.15;SNC PUECHAVY ET CIE  (BRASSERIE);48.866215, 2.333963
5608;36 837 019 002;75001;22 RUE DES PYRAMIDES;C;TERRASSE OUVERTE;2.0;7.0;SNC PUECHAVY ET CIE  (BRASSERIE);48.866215, 2.333963
5611;37 893 010 004;75001;Pan coupé 10 RUE DES PYRAMIDES / 282 RUE SAINT HONORE;A;TERRASSE OUVERTE;1.7;4.7;SARL LA ROTONDE DES TUILERIES  (BRASSERIE);
5629;52 511 002 002;75002;2 RUE DALAYRAC;A;TERRASSE FERMEE;1.2;9.25;SARL CAFE DALAYRAC  (BRASSERIE);48.867469, 2.33488
5648;66 444 161 004;75002;161 RUE MONTMARTRE;A;TERRASSE OUVERTE;1.1;7.6;SARL SPORTS UNIVERS CAFE  (BRASSERIE);48.870924, 2.342737
5668;73 418 032 008;75002;32 RUE ETIENNE MARCEL;A;TERRASSE FERMEE;1.25;4.5;SARL MF  (BRASSERIE);48.864606, 2.346352
5671;75 509 014 002;75002;14 RUE LEOPOLD BELLAN;A;TERRASSE OUVERTE;1.2;5.0;SARL EURL L HEDONISTE  (BRASSERIE);48.866591, 2.346022
5683;76 444 127 003;75002;127 RUE MONTMARTRE;A;TERRASSE OUVERTE;1.0;4.0;SARL LA PETITE BOURSE  (BRASSERIE);48.869224, 2.342989
5702;695 425 052 002;75018;52 RUE LEIBNIZ;A;TERRASSE OUVERTE;1.4;6.45;SARL LEIBNIZ  (BRASSERIE);48.896305, 2.332898
5746;680 938 125 002;75017;125 BOULEVARD BESSIERES;A;TERRASSE FERMEE;2.4;10.25;SNC OURAZI  (BRASSERIE);48.894326, 2.314145
5749;681 540 192 003;75017;192 RUE CARDINET;A;TERRASSE FERMEE;1.45;4.8;SARL ABC LE BISTROT CARDINET  (BRASSERIE);48.891325, 2.318448
5754;682 112 127 007;75017;127 AVENUE DE CLICHY;A;TERRASSE OUVERTE;0.9;6.5;SARL LIBRE ECHANGE  (BRASSERIE);48.890331, 2.320378
5763;690 508 007 002;75018;49 RUE DES ABBESSES;B;TERRASSE OUVERTE;0.95;5.4;SARL LE CHINON  (BRASSERIE);48.885424, 2.335995
5764;691 606 024 002;75018;24 RUE CAULAINCOURT;A;TERRASSE OUVERTE;0.6;7.65;SARL CAT DAM  (BRASSERIE);48.887545, 2.333457
5765;691 606 065 002;75018;65 RUE CAULAINCOURT;A;TERRASSE OUVERTE;1.2;5.6;SNC LE CEPAGE MONTMARTROIS  (BRASSERIE);48.889611, 2.335946
5771;692 112 050 002;75018;50 AVENUE DE CLICHY;A;TERRASSE OUVERTE;1.5;6.4;M SAYAH  (BRASSERIE);48.886525, 2.326207
5772;692 112 050 002;75018;2 RUE PIERRE GINIER;B;TERRASSE OUVERTE;1.5;2.5;M SAYAH  (BRASSERIE);48.886593, 2.326146
5774;692 113 068 002;75018;Pan coupé 68 BOULEVARD DE CLICHY / 1 RUE COUSTOU;A;TERRASSE OUVERTE;0.7;1.6;M DELAYE  (BRASSERIE);48.883568, 2.334099
5776;692 113 122 004;75018;2 RUE CAULAINCOURT;B;TERRASSE FERMEE;1.25;6.85;SARL TROIS ETOILES CAFE DE LUNA (BRASSERIE);48.884786, 2.329996
5798;586 455 038 003;75015;38 BOULEVARD DU MONTPARNASSE;A;TERRASSE FERMEE;2.0;1.95;SARL ST MICHEL  (BRASSERIE);48.845125, 2.319538
5799;587 018 002 002;75015;Pan coupé 2 BOULEVARD PASTEUR / 1 RUE LECOURBE;A;TERRASSE FERMEE;1.75;4.6;SARL PYMS  (BRASSERIE);48.844843, 2.310633
5808;364 103 020 003;75009;93 RUE DE ROCHECHOUART;B;TERRASSE OUVERTE;1.2;11.0;SARL AB PANORAMA  (BRASSERIE);48.883032, 2.34679
5848;373 019 022 002;75010;22 RUE DE DUNKERQUE;A;TERRASSE FERMEE;1.25;8.8;SAS BASILIC DU NORD  (BRASSERIE);48.880438, 2.353268
5857;373 541 166 002;75010;166 RUE DU FAUBOURG SAINT DENIS;A;TERRASSE FERMEE;1.14;11.3;SAS VILLA DE NELLY  (BRASSERIE);48.879593, 2.357308
5889;375 835 123 003;75010;Pan coupé 123 BOULEVARD DE MAGENTA / 12 RUE SAINT VINCENT DE PAUL;A;TERRASSE FERMEE;1.5;5.5;SARL ONESTA  (BRASSERIE);48.880282, 2.352358
5895;376 098 085 002;75010;85 RUE DE MAUBEUGE;A;TERRASSE FERMEE;0.9;4.5;_ET FREMAUDIERE  (BRASSERIE);48.880795, 2.352647
5896;376 098 085 002;75010;Pan coupé 85 RUE DE MAUBEUGE / 14 RUE SAINT VINCENT DE PAUL;A;TERRASSE OUVERTE;4.0;6.0;_ET FREMAUDIERE  (BRASSERIE);48.880756, 2.352476
5897;376 098 085 002;75010;14 RUE SAINT VINCENT DE PAUL;B;TERRASSE FERMEE;0.6;6.25;_ET FREMAUDIERE  (BRASSERIE);48.880756, 2.352476
5928;185 138 057 002;75005;57 RUE LACEPEDE;A;TERRASSE OUVERTE;2.2;8.0;SARL CONTRESCARPE  (BRASSERIE);48.844287, 2.349472
5932;186 359 077 002;75005;25 RUE LARREY;B;TERRASSE OUVERTE;0.75;10.97;M MOISSET  (BRASSERIE);48.842106, 2.353619
5952;188 912 002 002;75005;Pan coupé 2 BOULEVARD SAINT MARCEL / 42 BOULEVARD DE L HOPITAL;A;TERRASSE FERMEE;1.4;2.0;SARL LE SANCERRE SAINT-MARCEL  (BRASSERIE);48.840052, 2.361447
5980;197 710 050 002;75005;50 BOULEVARD DE PORT ROYAL;A;TERRASSE FERMEE;2.6;3.05;SARL STOUPORT  (BRASSERIE);48.837605, 2.346583
5981;197 710 050 002;75005;50 BOULEVARD DE PORT ROYAL;A;TERRASSE OUVERTE;0.6;3.05;SARL STOUPORT  (BRASSERIE);48.837605, 2.346583
5989;198 657 019 004;75005;19 RUE SOUFFLOT;A;TERRASSE FERMEE;2.6;6.1;SARL LA GUEUZE  (BRASSERIE);48.847062, 2.341444
5990;198 657 019 004;75005;19 RUE SOUFFLOT;A;TERRASSE OUVERTE;1.0;6.1;SARL LA GUEUZE  (BRASSERIE);48.847062, 2.341444
6048;505 723 013 002;75013;2 RUE MARCEL ET LOUIS DE BROGLIE;A;TERRASSE FERMEE;0.9;7.02;SARL LES 4 G  (BRASSERIE);48.824809, 2.368847
6053;507 024 002 002;75013;2 RUE DE PATAY;A;TERRASSE FERMEE;0.72;3.05;SARL ALEX ET CHLOE  (BRASSERIE);48.824553, 2.376321
6054;507 024 002 002;75013;34 RUE REGNAULT;B;TERRASSE FERMEE;0.74;4.56;SARL ALEX ET CHLOE  (BRASSERIE);48.823851, 2.37302
6055;507 024 002 002;75013;34 RUE REGNAULT;B;TERRASSE OUVERTE;1.76;5.0;SARL ALEX ET CHLOE  (BRASSERIE);48.823851, 2.37302
6056;507 024 002 002;75013;4 RUE DE PATAY;C;TERRASSE OUVERTE;0.8;1.7;SARL ALEX ET CHLOE  (BRASSERIE);48.824539, 2.376296
6061;509 320 012 002;75013;12 RUE DE TOLBIAC;A;TERRASSE OUVERTE;1.3;7.57;SARL O LANCE CAFE  (BRASSERIE);48.82977, 2.375071
6069;509 320 122 002;75013;Pan coupé 122 RUE DE TOLBIAC / RUE;A;TERRASSE OUVERTE;1.0;2.5;M RICHARD SAUVAGE MARTINE MARIE RICHARD (BRASSERIE);48.826276, 2.360267
6109;89 490 021 004;75002;1 RUE TIQUETONNE;B;TERRASSE OUVERTE;0.95;11.1;SARL LE GRILLON  (BRASSERIE);48.864289, 2.350025
6147;109 157 001 003;75003;1 BOULEVARD DU TEMPLE;A;TERRASSE FERMEE;2.6;6.8;M GINESTON  (BRASSERIE);48.863133, 2.366446
6200;587 018 002 002;75015;1 RUE LECOURBE;B;TERRASSE OUVERTE;1.8;3.0;SARL PYMS  (BRASSERIE);48.840963, 2.297277
6223;591 265 105 003;75015;105 QUAI BRANLY;A;COMMERCE ACCESSOIRE;1.0;1.24;SARL PRATEIFFEL  (BRASSERIE);48.854589, 2.289159
6233;592 727 014 002;75015;Pan coupé 14 RUE DESAIX / 46 RUE DE LA FEDERATION;A;TERRASSE OUVERTE;1.3;2.0;SARL EIDOLE  (BRASSERIE);48.854682, 2.290779
6243;593 865 044 003;75015;2 PLACE CAMBRONNE;B;TERRASSE OUVERTE;3.3;8.17;SNC LA PLACE DU 15EME  (BRASSERIE);48.847708, 2.301073
6245;594 272 004 002;75015;4 BOULEVARD DE GRENELLE;A;TERRASSE OUVERTE;1.39;3.7;SARL JIRAYR  (BRASSERIE);48.85399, 2.288986
6265;595 261 011 002;75015;Pan coupé 11 RUE DU LAOS / RUE DE L ABBE ROGER DERRY;A;TERRASSE FERMEE;1.5;5.3;ARL BICOUNE  (BRASSERIE);48.85028, 2.301774
6269;595 820 021 003;75015;21 RUE MADEMOISELLE;A;TERRASSE OUVERTE;0.6;5.2;SARL BRASSERIES ASCIONE M ASCIONE L CHEZ MADEMOISELLE (BRASSERIE);48.843659, 2.295127
6272;598 728 084 002;75015;46 AVENUE DE LA MOTTE PICQUET;A;TERRASSE OUVERTE;2.9;11.3;SA CAFE BRASSERIE LE SUFFREN  (BRASSERIE);48.849996, 2.299305
6273;598 792 056 003;75015;56 PLACE SAINT CHARLES;A;TERRASSE FERMEE;2.0;4.2;M ROUX  (BRASSERIE);48.849116, 2.287199
6276;599 205 099 002;75015;140 AVENUE EMILE ZOLA;B;TERRASSE FERMEE;1.2;6.1;SARL JBN  (BRASSERIE);48.846908, 2.293681
6279;600 625 001 002;75015;1 PLACE BALARD;A;TERRASSE OUVERTE;2.6;9.9;SARL LTB  (BRASSERIE);48.837188, 2.277473
6297;575 404 038 002;75015;1 AVENUE DE LA PORTE DE LA PLAINE;B;TERRASSE OUVERTE;0.6;4.1;SARL BISTROT 38 15EME BOULEVARD (BRASSERIE);48.829127, 2.292022
6309;381 103 030 002;75010;Pan coupé 30 BOULEVARD DE BONNE NOUVELLE / RUE D HAUTEVILLE;A;TERRASSE OUVERTE;4.5;4.5;SARL L IMPREVU  (BRASSERIE);48.870621, 2.349847
6363;391 910 054 002;75010;54 RUE DU CHATEAU D EAU;A;TERRASSE OUVERTE;1.2;9.8;SARL LE VAUXHALL  (BRASSERIE);48.871939, 2.356913
6364;391 910 054 002;75010;Pan coupé 54 RUE DU CHATEAU D EAU / 65 RUE DU FAUBOURG SAINT MARTIN;A;TERRASSE OUVERTE;0.7;3.3;SARL LE VAUXHALL  (BRASSERIE);48.870945, 2.35686
6379;395 835 017 003;75010;17 BOULEVARD DE MAGENTA;A;TERRASSE FERMEE;1.2;9.05;SARL BIEN ETRE  (BRASSERIE);48.8705, 2.360978
6407;383 541 079 002;75010;79 RUE DU FAUBOURG SAINT DENIS;A;TERRASSE OUVERTE;1.5;6.5;_ET GUERDA  (BRASSERIE);48.873224, 2.354518
6413;383 541 094 002;75010;94 RUE DU FAUBOURG SAINT DENIS;A;TERRASSE OUVERTE;1.3;5.6;M SEMROUD  (BRASSERIE);48.874284, 2.355421
6445;391 910 054 002;75010;65 RUE DU FAUBOURG SAINT MARTIN;B;TERRASSE OUVERTE;0.8;5.3;SARL LE VAUXHALL  (BRASSERIE);48.871859, 2.357195
6466;398 128 019 002;75010;19 RUE RENE BOULANGER;A;TERRASSE OUVERTE;1.7;13.4;SARL J & G  (BRASSERIE);48.869164, 2.35646
6467;398 128 019 002;75010;19 RUE RENE BOULANGER;A;TERRASSE OUVERTE;2.0;1.5;SARL J & G  (BRASSERIE);48.869164, 2.35646
6495;403 536 073 002;75010;Pan coupé 73 RUE DU FAUBOURG DU TEMPLE / 152 AVENUE PARMENTIER;A;TERRASSE OUVERTE;0.9;1.1;SARL TEMPLE PARMENTIER  (BRASSERIE);
6496;403 536 073 002;75010;73 RUE DU FAUBOURG DU TEMPLE;A;TERRASSE OUVERTE;1.0;8.2;SARL TEMPLE PARMENTIER  (BRASSERIE);48.870126, 2.371175
6497;403 536 073 002;75010;152 AVENUE PARMENTIER;B;TERRASSE OUVERTE;1.0;3.35;SARL TEMPLE PARMENTIER  (BRASSERIE);48.870102, 2.371039
6528;603 572 022 003;75015;Pan coupé 22 AVENUE FELIX FAURE / 156 RUE DE JAVEL;A;TERRASSE OUVERTE;0.6;1.6;SARL LE BISTROT 12  (BRASSERIE);
6545;607 575 007 002;75015;7 ROND POINT DU PONT MIRABEAU;A;TERRASSE OUVERTE;1.17;3.0;SARL DR2C  (BRASSERIE);48.84507, 2.277594
6546;607 575 007 002;75015;2 RUE DE LA CONVENTION;B;TERRASSE FERMEE;1.3;11.17;SARL DR2C  (BRASSERIE);48.845684, 2.277545
6617;138 916 010 002;75004;10 RUE SAINT MARTIN;A;TERRASSE OUVERTE;3.26;6.64;SARL LYA  (BRASSERIE);48.857728, 2.349641
6642;139 764 010 002;75004;Pan coupé 6 RUE SAINT MARTIN / 10 AVENUE VICTORIA;B;TERRASSE OUVERTE;2.5;3.2;MM CRETIN  (BRASSERIE);48.857193, 2.350235
6645;141 216 004 003;75004;4 RUE DU BOURG TIBOURG;A;PLANCHER MOBILE;2.55;3.61;SARL BDV  (BRASSERIE);48.856771, 2.355822
6669;698 941 036 003;75018;36 AVENUE DE SAINT OUEN;A;TERRASSE FERMEE;1.5;7.6;SARL CHEZ WILLEM  (BRASSERIE);48.889386, 2.326397
6684;700 649 067 003;75018;Pan coupé 67 BOULEVARD BARBES / 57 RUE MARCADET;A;TERRASSE OUVERTE;1.2;3.2;M BERTIN  (BRASSERIE);48.890351, 2.349386
6696;702 118 013 006;75018;Pan coupé 13 RUE DE CLIGNANCOURT / 3 RUE PIERRE PICARD;A;TERRASSE OUVERTE;0.9;1.0;SARL SOCIETE NOUVELLE CZC CAFE DU COMMERCE (BRASSERIE);48.884756, 2.347097
6699;702 118 036 005;75018;36 RUE DE CLIGNANCOURT;A;TERRASSE OUVERTE;0.85;3.15;SNC LE DIPLOMATE  (BRASSERIE);48.886609, 2.347712
6722;579 671 301 003;75015;301 RUE DE VAUGIRARD;A;TERRASSE OUVERTE;1.0;2.8;SARL DICOMAT  (BRASSERIE);48.838978, 2.300013
6756;581 444 125 002;75015;Pan coupé 125 RUE CAMBRONNE / 230 RUE DE VAUGIRARD;A;TERRASSE OUVERTE;1.2;1.35;SNC BAAC  (BRASSERIE);48.84455, 2.318492
6761;583 960 037 003;75015;Pan coupé 37 BOULEVARD GARIBALDI / RUE PERIGNON;A;TERRASSE FERMEE;0.9;4.71;SNC LE CAMELIA S CLUB  (BRASSERIE);48.846685, 2.306508
6778;536 455 152 003;75014;152 BOULEVARD DU MONTPARNASSE;A;TERRASSE FERMEE;2.6;6.25;SARL LE RACHID S CAFE  (BRASSERIE);48.840272, 2.334175
6795;536 816 023 003;75014;23 RUE D ODESSA;A;TERRASSE FERMEE;1.0;2.3;SARL CAFE DE LA PLACE  (BRASSERIE);48.841646, 2.324821
6796;536 816 028 002;75014;28 RUE D ODESSA;A;TERRASSE OUVERTE;1.3;6.5;SARL L ODESSA  (BRASSERIE);48.841524, 2.324676
6801;398 914 020 002;75010;20 BOULEVARD SAINT MARTIN;A;TERRASSE OUVERTE;2.9;6.3;SARL ACCA  (BRASSERIE);48.868945, 2.356147
6848;410 274 114 003;75011;114 RUE AMELOT;A;COMMERCE ACCESSOIRE;0.7;1.1;SARL CLOWN BAR  (BRASSERIE);48.863597, 2.367142
6895;419 872 018 005;75011;18 BOULEVARD VOLTAIRE;A;TERRASSE OUVERTE;2.0;5.6;SARL LE VOLTAIRE  (BRASSERIE);48.865288, 2.367225
6896;419 872 018 005;75011;Pan coupé 18 BOULEVARD VOLTAIRE / 11 RUE JEAN PIERRE TIMBAUD;A;TERRASSE OUVERTE;1.5;2.2;SARL LE VOLTAIRE  (BRASSERIE);48.865292, 2.368455
6911;404 253 047 002;75010;1 RUE DES ECLUSES SAINT MARTIN;B;TERRASSE OUVERTE;0.8;16.0;SARL LI FRANCOIS  (BRASSERIE);48.87613, 2.368013
6968;416 991 090 004;75011;90 AVENUE PARMENTIER;A;TERRASSE FERMEE;0.9;15.4;SARL 2RD  (BRASSERIE);48.865707, 2.374382
6981;419 872 018 005;75011;18 BOULEVARD VOLTAIRE;A;PLANCHER MOBILE;2.0;5.6;SARL LE VOLTAIRE  (BRASSERIE);48.865288, 2.367225
7084;634 292 030 003;75016;Pan coupé 30 RUE GREUZE / 35 RUE DES SABLONS;A;TERRASSE OUVERTE;0.85;2.7;M GILLIG  (BRASSERIE);48.865255, 2.283005
7095;637 544 148 002;75016;148 RUE DE LA POMPE;A;TERRASSE OUVERTE;0.6;5.5;SARL SARL MARISOR  (BRASSERIE);48.869192, 2.28215
7100;702 118 036 005;75018;1 RUE POULET;C;TERRASSE FERMEE;0.75;13.65;SNC LE DIPLOMATE  (BRASSERIE);48.886432, 2.347687
7102;702 118 111 003;75018;111 RUE DE CLIGNANCOURT;A;TERRASSE OUVERTE;0.8;6.6;SARL MISO  (BRASSERIE);48.892123, 2.348715
7113;704 542 028 002;75018;113 RUE ORDENER;B;TERRASSE OUVERTE;1.25;2.3;SARL CAFE DE LA PLACE  (BRASSERIE);48.892349, 2.345084
7121;705 921 073 002;75018;73 RUE MARCADET;A;CONTRE TERRASSE;2.0;4.2;SARL KAHINA  (BRASSERIE);48.890202, 2.347574
7125;706 392 079 003;75018;2 RUE DU POTEAU;B;TERRASSE FERMEE;0.85;5.4;SA ISAFERBA LE NORD SUD  (BRASSERIE);48.892623, 2.344122
7139;706 845 117 003;75018;117 RUE ORDENER;A;TERRASSE OUVERTE;1.5;3.47;SAS BRASSERIE MODERNE CAFE D ALBERT (BAR RESTAURANT);48.892604, 2.343061
7145;706 868 047 002;75018;47 BOULEVARD ORNANO;A;TERRASSE OUVERTE;0.85;4.5;SARL LE MONT CENIS  (BRASSERIE);48.895482, 2.346182
7148;706 868 082 002;75018;82 BOULEVARD ORNANO;A;TERRASSE OUVERTE;1.2;2.6;SNC  BRASSERIE ROYAL CLIGNANCOURT  (BAR - CAFE - PUB);48.897434, 2.345043
7160;707 727 048 002;75018;48 RUE DU POTEAU;A;TERRASSE OUVERTE;1.15;12.9;SARL APM LOU  (BRASSERIE);48.894824, 2.340919
7168;708 029 033 002;75018;Pan coupé 36 RUE CUSTINE / 33 RUE RAMEY;B;TERRASSE OUVERTE;1.3;3.0;M SLAIMI LE ROYAL CUSTINE (BRASSERIE);48.888932, 2.346183
7201;538 055 234 002;75014;1 BOULEVARD EDGAR QUINET;B;TERRASSE FERMEE;3.3;6.1;SARL CAFE DES ARTS  (BRASSERIE);48.839074, 2.330291
7202;540 285 022 003;75014;22 RUE DE L AMIRAL MOUCHEZ;A;TERRASSE OUVERTE;0.9;8.0;SARL OUMATOUS  (BRASSERIE);48.824837, 2.341496
7206;698 941 036 003;75018;Pan coupé 36 AVENUE DE SAINT OUEN / 21 RUE FAUVET;A;TERRASSE OUVERTE;1.5;1.0;SARL CHEZ WILLEM  (BRASSERIE);48.889386, 2.326397
7215;700 649 066 002;75018;66 BOULEVARD BARBES;A;TERRASSE FERMEE;1.25;6.08;SA MAZUY PARIS  (BRASSERIE);48.888631, 2.349805
7216;700 649 088 004;75018;88 BOULEVARD BARBES;A;TERRASSE OUVERTE;1.2;3.0;SNC CAFE DU COMMERCE  (BRASSERIE);48.890665, 2.349824
7217;701 071 017 002;75018;1 CITE TRAEGER;B;TERRASSE OUVERTE;0.6;12.9;SARL LA CASSEROLE  (BRASSERIE);48.893114, 2.350556
7221;702 113 002 002;75018;Pan coupé 2 BOULEVARD DE CLICHY / 69 RUE DES MARTYRS;A;TERRASSE OUVERTE;1.0;5.6;SARL VOFA  (BRASSERIE);48.882287, 2.339392
7245;705 209 033 002;75018;33 RUE LAMARCK;A;TERRASSE OUVERTE;0.6;4.8;SAS  ANABELLE  (BRASSERIE);48.889158, 2.342274
7261;706 392 079 003;75018;79 RUE DU MONT CENIS;A;TERRASSE OUVERTE;0.6;10.1;SA ISAFERBA LE NORD SUD  (BRASSERIE);48.892679, 2.344294
7262;706 392 079 003;75018;2 RUE DU POTEAU;B;COMMERCE ACCESSOIRE;0.85;3.5;SA ISAFERBA LE NORD SUD  (BRASSERIE);48.892623, 2.344122
7267;706 764 004 002;75018;4 RUE NORVINS;A;COMMERCE ACCESSOIRE;0.6;2.5;EURL LE BISTRO DE LA PLACE  (BRASSERIE);48.886723, 2.340938
7268;706 764 004 002;75018;4 RUE NORVINS;A;TERRASSE OUVERTE;0.6;7.3;EURL LE BISTRO DE LA PLACE  (BRASSERIE);48.886723, 2.340938
7277;706 845 117 003;75018;15 RUE LAPEYRERE;B;TERRASSE OUVERTE;0.6;12.1;SAS BRASSERIE MODERNE CAFE D ALBERT (BAR RESTAURANT);48.892374, 2.343061
7282;706 868 047 002;75018;47 BOULEVARD ORNANO;A;TERRASSE OUVERTE;1.15;3.5;SARL LE MONT CENIS  (BRASSERIE);48.895482, 2.346182
7286;706 868 082 002;75018;582 BOULEVARD ORNANO;A;COMMERCE ACCESSOIRE;1.2;2.5;SNC  BRASSERIE ROYAL CLIGNANCOURT  (BAR - CAFE - PUB);48.89468, 2.347109
7287;706 868 082 002;75018;82 BOULEVARD ORNANO;A;TERRASSE FERMEE;1.2;7.0;SNC  BRASSERIE ROYAL CLIGNANCOURT  (BAR - CAFE - PUB);48.897434, 2.345043
7288;706 868 082 002;75018;55 RUE BELLIARD;B;TERRASSE FERMEE;0.9;15.1;SNC  BRASSERIE ROYAL CLIGNANCOURT  (BAR - CAFE - PUB);48.897569, 2.345306
7328;150 987 008 002;75004;8 RUE DE BIRAGUE;A;TERRASSE OUVERTE;0.8;4.0;SARL LE VIEUX COMPTOIR  (BRASSERIE);48.854265, 2.365097
7334;154 510 029 003;75004;Pan coupé 29 BOULEVARD HENRI IV / 19 RUE DE LA CERISAIE;A;COMMERCE ACCESSOIRE;1.0;1.0;M VIDAL  (BRASSERIE);48.851747, 2.363937
7335;154 510 029 003;75004;29 BOULEVARD HENRI IV;A;TERRASSE FERMEE;2.0;5.07;M VIDAL  (BRASSERIE);48.8508, 2.361856
7336;154 510 029 003;75004;Pan coupé 29 BOULEVARD HENRI IV / 19 RUE DE LA CERISAIE;A;TERRASSE OUVERTE;1.0;2.0;M VIDAL  (BRASSERIE);48.851747, 2.363937
7337;154 510 029 003;75004;Pan coupé 29 BOULEVARD HENRI IV / 19 RUE DE LA CERISAIE;A;TERRASSE OUVERTE;2.8;2.0;M VIDAL  (BRASSERIE);48.851747, 2.363937
7341;156 501 002 004;75004;2 BOULEVARD MORLAND;A;TERRASSE OUVERTE;2.9;4.0;SARL LES FLEURS DU SUD  (BRASSERIE);48.847749, 2.365469
7342;156 501 006 003;75004;;A;TERRASSE FERMEE;1.08;5.95;M DEGACHE  (BRASSERIE);
7343;156 501 006 003;75004;Pan coupé 6 BOULEVARD MORLAND / 1 RUE CRILLON;A;TERRASSE OUVERTE;1.0;2.1;M DEGACHE  (BRASSERIE);48.848507, 2.364953
7349;158 769 067 002;75004;5 RUE DE L HOTEL SAINT PAUL;B;TERRASSE OUVERTE;1.5;13.25;SARL CABELS SULLY  (BRASSERIE);48.854226, 2.36359
7371;166 918 003 004;75004;Pan coupé 3 BOULEVARD DU PALAIS / 5 RUE DE LUTECE;A;TERRASSE FERMEE;1.75;2.8;SA CAFE BRASSERIE DES DEUX PALAIS  (BRASSERIE);48.855133, 2.345977
7419;203 129 039 003;75005;Pan coupé 39 RUE DES ECOLES / 18 RUE DE CARMES;A;TERRASSE OUVERTE;1.0;3.0;M MARTIN  (BRASSERIE);48.848622, 2.348885
7438;206 400 021 002;75005;1 RUE LAGRANGE;B;TERRASSE FERMEE;1.43;10.15;MME PANIS  (BRASSERIE);48.852229, 2.348239
7439;206 400 021 002;75005;Pan coupé 1 RUE LAGRANGE / 20 RUE DE LA BUCHERIE;B;TERRASSE FERMEE;1.08;4.3;MME PANIS  (BRASSERIE);48.851309, 2.349119
7440;206 400 021 002;75005;1 RUE LAGRANGE;B;TERRASSE OUVERTE;0.6;7.0;MME PANIS  (BRASSERIE);48.852229, 2.348239
7441;206 400 021 002;75005;20 RUE DE LA BUCHERIE;C;TERRASSE FERMEE;0.7;1.74;MME PANIS  (BRASSERIE);48.851887, 2.348348
7443;207 297 007 002;75005;7 RUE DU PETIT PONT;A;TERRASSE FERMEE;0.7;3.7;SARL L ELDORADO  (BRASSERIE);48.852542, 2.346649
7459;208 845 090 002;75005;90 BOULEVARD SAINT GERMAIN;A;PLANCHER MOBILE;2.58;7.65;SARL GASTE ET ASSOCIES  (BRASSERIE);48.851158, 2.344752
7460;208 845 090 002;75005;90 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;2.58;7.65;SARL GASTE ET ASSOCIES  (BRASSERIE);48.851158, 2.344752
7469;208 932 001 002;75005;29 QUAI SAINT MICHEL;B;COMMERCE ACCESSOIRE;1.0;2.4;SA LE DEPART  (BRASSERIE);48.85353, 2.344778
7489;212 543 002 004;75006;2 RUE DANTON;A;TERRASSE OUVERTE;1.6;5.0;SARL LE SAINT-ANDRE  (BRASSERIE);48.852901, 2.342516
7490;212 543 002 004;75006;1 RUE SUGER;B;TERRASSE OUVERTE;0.8;5.9;SARL LE SAINT-ANDRE  (BRASSERIE);48.852969, 2.341631
7491;212 593 010 005;75006;10 RUE DAUPHINE;A;TERRASSE OUVERTE;0.8;3.0;SARL LE JARDIN VERT  (BRASSERIE);48.855746, 2.340113
7499;218 760 009 003;75006;9 PLACE SAINT ANDRE DES ARTS;A;COMMERCE ACCESSOIRE;3.32;2.5;SAS CHEZ CLEMENT  (BRASSERIE);48.852852, 2.343046
7506;198 929 097 002;75005;97 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;2.4;9.17;MME MISSOUM  (BRASSERIE);48.844402, 2.339458
7527;203 129 039 003;75005;39 RUE DES ECOLES;A;TERRASSE OUVERTE;0.7;7.5;M MARTIN  (BRASSERIE);48.848852, 2.347225
